hashname,model,20250407_PC_NODE_grid_final_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
ecf08c3e,fr,256,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6962316036224365,0.5305357575416565,0.1347692757844925,0.9989367127418518
ecf08c3e,fr,256,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6962316036224365,0.5305357575416565,0.1347692757844925,0.9989367127418518
2456e958,fr,512,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.88088458776474,0.8245242238044739,0.2237330228090286,0.9948031902313232
2456e958,fr,512,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.88088458776474,0.8245242238044739,0.2237330228090286,0.9948031902313232
bed9658e,fr,32,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7518183588981628,0.4226241409778595,0.1020580977201461,0.9980587363243104
bed9658e,fr,32,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7518183588981628,0.4226241409778595,0.1020580977201461,0.9980587363243104
4925fdf9,fr,64,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.5629898905754089,0.3418547809123993,0.0838435739278793,0.995250940322876
4925fdf9,fr,64,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.5629898905754089,0.3418547809123993,0.0838435739278793,0.995250940322876
11bb2f49,fr,128,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.675700843334198,0.5317956209182739,0.1308152377605438,0.998537540435791
11bb2f49,fr,128,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.675700843334198,0.5317956209182739,0.1308152377605438,0.998537540435791
1cc9649b,fr,256,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6967933177947998,0.5338525772094727,0.1355042904615402,0.9989421963691713
1cc9649b,fr,256,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6967933177947998,0.5338525772094727,0.1355042904615402,0.9989421963691713
2fcbfe2e,fr,512,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8808842897415161,0.8245168924331665,0.2237319499254226,0.9948039054870604
2fcbfe2e,fr,512,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8808842897415161,0.8245168924331665,0.2237319499254226,0.9948039054870604
